id,roll,name,description,value_cp,lucky_name,lucky_description,lucky_value_cp,tags
I0001,1,Колпак с дохлой молью,"Находка грязная, смешная и почти бесполезная. Форма и следы носки сразу выдают историю головного убора.",13,Колпак с дохлой молью — из гардероба лунной княгини,"Материал оказался редким, а внутренняя метка связывает вещь с известным владельцем. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Редкая особенность раскрывается только при внимательном осмотре.",3250,"headwear,tier-1"
I0002,1,Левый башмак утопленника,"Находка грязная, смешная и почти бесполезная. Подошва, застёжки и размер делают эту обувь вполне узнаваемой находкой.",26,Левый башмак утопленника — с парной печатью королевского сапожника,"Под неприметным верхом скрылись работа прославленного сапожника и дорогая подкладка. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Даже неприметный вид не способен скрыть выдающееся качество.",6526,"footwear,tier-1"
I0003,1,Подозрительно липкая портянка,"Находка грязная, смешная и почти бесполезная. Ткань сохранила запах дороги, мастерской или прежнего хозяина.",20,Подозрительно липкая портянка — из дорожного сундука архимага,"Швы выполнены драгоценной нитью, а покрой имеет коллекционное происхождение. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Вещь сохранилась вопреки возрасту и явно переживёт нового хозяина.",5040,"clothes,tier-1"
I0004,1,Обгрызенная половина ложки,"Находка грязная, смешная и почти бесполезная. На поверхности остались царапины от долгого и не всегда бережного использования.",15,Обгрызенная половина ложки — с клеймом коронационного мастера,"Клеймо мастера подтверждает редкий сплав и важную историю этой утвари. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. История владельца повышает цену не меньше, чем материалы.",3795,"utensil,tier-1"
I0005,1,Крышка от давно потерянного горшка,"Находка грязная, смешная и почти бесполезная. Копоть и вмятины рассказывают о множестве походных ужинов.",29,Крышка от давно потерянного горшка — из кухни исчезнувшей династии,"Под слоем нагара обнаружилась безупречная работа знаменитой дворцовой кухни. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Работа мастера узнаваема и имеет подтверждённую ценность.",7366,"cookware,tier-1"
I0006,1,Корка хлеба с отпечатком зубов,"Находка грязная, смешная и почти бесполезная. Запах, корочка и упаковка позволяют оценить свежесть без рискованной дегустации.",21,Корка хлеба с отпечатком зубов — по рецепту небесного кондитера,"Редкий рецепт и идеально сохранившиеся ингредиенты превращают еду в дорогой деликатес. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Неожиданное свойство делает эту версию особенно желанной.",5355,"food,tier-1"
I0007,1,Бутылка вчерашней болотной воды,"Находка грязная, смешная и почти бесполезная. Содержимое тихо плещется и пахнет ровно так, как обещает его вид.",17,Бутылка вчерашней болотной воды — из последней бочки императорского погреба,"Печать на сосуде указывает на исключительную выдержку и знаменитую партию. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. На рынке редкостей за неё наверняка начнётся спор.",4352,"drink,tier-1"
I0008,1,Куриная кость с гоблинскими зарубками,"Находка грязная, смешная и почти бесполезная. На кости заметны насечки, следы зубов или попытка придать ей смысл.",11,Куриная кость с гоблинскими зарубками — с летописью древнего чудовища,"Знаки оказались исторической записью, а сама кость принадлежала необычному существу. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Подлинная метка превращает случайную находку в событие.",2750,"bones,tier-1"
I0009,1,Рукоять без молотка,"Находка грязная, смешная и почти бесполезная. Баланс рукояти показывает, годится ли находка для настоящей работы.",23,Рукоять без молотка — работы кузнеца Семи Башен,"Скрытое клеймо подтверждает происхождение из мастерской великого кузнеца. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Состояние почти идеальное, а происхождение подтверждено.",5773,"hammer,tier-1"
I0010,1,Погнутая игла в куске сала,"Находка грязная, смешная и почти бесполезная. Тонкий инструмент пережил владельца и сохранил следы его ремесла.",19,Погнутая игла в куске сала — из набора швеи при дворе фей,"Игла сделана из необычного металла и выполняет тонкую работу почти без усилий. Невероятно, но именно этот жалкий мусор оказался вещью с большой историей. Знаток заплатит за такую редкость намного больше обычного.",4788,"needle,tier-1"
