id,roll,name,official_name,description,value_cp,polarity,source,tags
A2001,20,Книга возвышенных деяний,Book of Exalted Deeds,Священный том хранит возвышенные знания и требует от читателя безупречной нравственной стойкости.,650000000,GOOD,Dungeon Master's Guide; https://www.dndbeyond.com/magic-items/5423-book-of-exalted-deeds,"artifact,book,good"
A2002,20,Топор владык дворфов,Axe of the Dwarvish Lords,Древняя секира воплощает мастерство и власть первых дворфских правителей.,780000000,GOOD,Dungeon Master's Guide; https://www.dndbeyond.com/magic-items,"artifact,weapon,dwarf"
A2003,20,Посох Рао,Crook of Rao,"Повреждённая священная реликвия способна изгонять потустороннее зло, хотя её история оставила опасные трещины.",590000000,GOOD,Tasha's Cauldron of Everything; https://www.dndbeyond.com/magic-items,"artifact,religion,good"
A2004,20,Ступа и пест Бабы-яги,Baba Yaga's Mortar and Pestle,"Легендарная ведьмовская утварь служит мастерской, средством путешествия и грозным орудием.",520000000,GOOD,Tasha's Cauldron of Everything; https://www.dndbeyond.com/magic-items,"artifact,tool,travel"
A2005,20,Могучий слуга Люк-О,Mighty Servant of Leuk-o,Исполинская шагающая машина заключает огромную силу и память жестокого воителя.,940000000,GOOD,Tasha's Cauldron of Everything; https://www.dndbeyond.com/magic-items,"artifact,construct,vehicle"
A2101,20,Книга мерзкой тьмы,Book of Vile Darkness,"Зловещий том собирает запретные знания и медленно портит всё, что оказывается рядом.",620000000,DANGEROUS,Dungeon Master's Guide; https://www.dndbeyond.com/magic-items,"artifact,book,evil"
A2102,20,Глаз Векны,Eye of Vecna,Иссохший глаз древнего лича дарует страшное могущество ценой тела и воли нового носителя.,760000000,DANGEROUS,Dungeon Master's Guide; https://www.dndbeyond.com/posts/1256-how-to-make-vecna-the-big-bad-of-your-d-d-campaign,"artifact,vecna,cursed"
A2103,20,Рука Векны,Hand of Vecna,Мумифицированная кисть несёт силу Векны и требует чудовищной жертвы ради её присвоения.,740000000,DANGEROUS,Dungeon Master's Guide; https://www.dndbeyond.com/posts/1256-how-to-make-vecna-the-big-bad-of-your-d-d-campaign,"artifact,vecna,cursed"
A2104,20,Сфера драконов,Orb of Dragonkind,"Одна из древних сфер зовёт драконов и хранит разум, способный подчинить неосторожного владельца.",480000000,DANGEROUS,SRD 5.1; https://www.dndbeyond.com/attachments/39j2li89/SRD5.1-CCBY4.0License.pdf,"artifact,dragon,ambiguous"
A2105,20,Меч Каса,Sword of Kas,"Разумный клинок жаждет мести Векне, но его собственная воля кровожадна и опасна.",710000000,DANGEROUS,Dungeon Master's Guide; https://www.dndbeyond.com/posts/1256-how-to-make-vecna-the-big-bad-of-your-d-d-campaign,"artifact,weapon,sentient"
A2106,20,Жезл Оркуса,Wand of Orcus,Увенчанный черепом жезл воплощает волю князя нежити и ненавидит всё живое.,1250000000,DANGEROUS,Dungeon Master's Guide; https://www.dndbeyond.com/magic-items,"artifact,undead,evil"
A2107,20,Демономикон Иггвильв,Demonomicon of Iggwilv,"Трактат о Бездне удерживает демонические тайны, которые легко обращаются против читателя.",560000000,DANGEROUS,Tasha's Cauldron of Everything; https://www.dndbeyond.com/magic-items,"artifact,book,demon"
A2108,20,Зубы Дальвер-Нара,Teeth of Dahlver-Nar,"Набор разнородных зубов вызывает великие чудеса, но каждый опыт оставляет непредсказуемый след.",430000000,DANGEROUS,Tasha's Cauldron of Everything; https://www.dndbeyond.com/magic-items,"artifact,oddity,ambiguous"
